Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,26.31,23.04,26.15
0,碎音鈸,10.86,32.24,35.3
0,碎音鈸,-1.56,26.86,38.83
0,碎音鈸,-9.11,22.65,33.48
0,碎音鈸,-15.28,23.53,34.32
0,碎音鈸,-24.06,28.29,37.39
0,碎音鈸,-36.55,20.26,34.51
0,碎音鈸,-40.3,31.55,35.07
0,碎音鈸,-43.53,27.61,32.83
0,碎音鈸,-48.19,31.68,34.88
0,碎音鈸,-50.55,23.33,37.39
0,碎音鈸,-51.36,39.27,40.49
0,碎音鈸,-53.91,30.96,40.56
0,碎音鈸,-48.86,44.34,49.0
0,碎音鈸,-47.71,47.57,56.63
0,碎音鈸,-50.55,34.64,53.09
0,碎音鈸,-54.16,26.31,37.69
0,碎音鈸,-53.55,18.97,35.79
0,碎音鈸,-52.05,29.5,36.08
0,碎音鈸,-52.3,23.97,27.58
1,小鼓,-114.49,25.98,30.99
1,小鼓,-113.25,33.87,44.31
1,小鼓,-121.38,38.59,43.29
1,小鼓,-129.56,47.72,52.32
1,小鼓,-127.1,36.34,52.78
1,小鼓,-132.49,41.4,47.22
1,小鼓,-137.4,38.39,43.53
1,小鼓,-140.64,36.9,49.01
1,小鼓,-148.76,41.72,47.41
1,小鼓,-149.55,42.85,47.42
1,小鼓,-153.79,35.05,46.31
1,小鼓,-160.82,25.56,42.46
1,小鼓,-165.89,28.77,37.78
1,小鼓,-174.74,24.1,34.53
1,小鼓,175.62,24.76,33.51
1,小鼓,161.55,18.95,31.88
1,小鼓,152.51,31.13,36.62
1,小鼓,145.23,22.68,35.77
1,小鼓,146.29,29.27,37.65
1,小鼓,150.55,26.75,31.11
2,高音中鼓,131.87,9.68,11.74
2,高音中鼓,131.44,8.64,12.74
2,高音中鼓,131.51,1.49,16.56
2,高音中鼓,129.63,13.21,15.39
2,高音中鼓,129.41,10.21,17.18
2,高音中鼓,129.23,7.88,18.63
2,高音中鼓,131.15,9.14,14.61
2,高音中鼓,132.68,19.13,19.27
2,高音中鼓,132.81,15.28,19.27
2,高音中鼓,135.43,9.02,15.76
2,高音中鼓,134.32,11.99,26.6
2,高音中鼓,135.23,18.5,24.54
2,高音中鼓,136.82,20.52,27.32
2,高音中鼓,139.41,19.44,22.94
2,高音中鼓,143.17,18.49,23.6
2,高音中鼓,147.34,18.46,26.13
2,高音中鼓,145.75,9.18,21.14
2,高音中鼓,146.91,8.41,23.83
2,高音中鼓,148.09,14.67,21.29
2,高音中鼓,150.89,12.4,19.9
3,低音中鼓,114.32,4.99,8.85
3,低音中鼓,107.3,17.06,17.56
3,低音中鼓,105.8,12.34,17.56
3,低音中鼓,103.62,11.72,19.37
3,低音中鼓,99.08,16.28,19.32
3,低音中鼓,97.3,20.15,21.92
3,低音中鼓,94.09,16.41,22.94
3,低音中鼓,91.09,23.35,23.71
3,低音中鼓,88.61,23.22,25.53
3,低音中鼓,86.46,20.62,29.63
3,低音中鼓,86.16,21.41,28.88
3,低音中鼓,84.36,27.66,29.7
3,低音中鼓,83.94,25.79,31.71
3,低音中鼓,81.73,21.93,31.64
3,低音中鼓,81.67,23.74,27.97
3,低音中鼓,81.84,23.97,29.25
3,低音中鼓,79.14,22.75,27.19
3,低音中鼓,78.83,18.14,25.95
3,低音中鼓,81.22,16.8,25.93
3,低音中鼓,85.41,11.11,15.81
4,落地鼓,59.58,12.92,19.32
4,落地鼓,58.62,29.35,39.11
4,落地鼓,53.69,26.32,38.59
4,落地鼓,54.02,31.59,36.08
4,落地鼓,51.97,36.39,38.63
4,落地鼓,53.69,16.57,38.92
4,落地鼓,63.19,14.09,24.81
4,落地鼓,53.71,14.56,22.21
4,落地鼓,51.13,17.03,19.83
4,落地鼓,52.62,16.17,24.7
4,落地鼓,54.8,8.93,20.15
4,落地鼓,56.05,13.2,21.06
4,落地鼓,59.4,10.78,20.19
4,落地鼓,60.72,15.98,23.31
4,落地鼓,52.87,25.08,27.59
4,落地鼓,53.7,16.81,28.89
4,落地鼓,55.88,11.33,31.1
4,落地鼓,56.95,16.34,27.89
4,落地鼓,57.11,27.6,29.71
4,落地鼓,58.42,10.62,31.77
5,碎音鈸2,49.43,15.93,20.24
5,碎音鈸2,48.78,34.9,36.85
5,碎音鈸2,45.81,26.15,38.76
5,碎音鈸2,53.45,24.48,35.01
5,碎音鈸2,60.64,27.66,29.51
5,碎音鈸2,68.93,17.59,30.24
5,碎音鈸2,81.81,20.38,24.79
5,碎音鈸2,91.84,13.84,20.42
5,碎音鈸2,96.04,15.13,19.38
5,碎音鈸2,98.3,22.1,24.6
5,碎音鈸2,103.05,17.42,27.07
5,碎音鈸2,92.86,10.89,21.85
5,碎音鈸2,108.63,7.82,17.13
5,碎音鈸2,111.1,12.73,16.19
5,碎音鈸2,115.62,5.46,20.97
5,碎音鈸2,121.97,-2.68,6.89
5,碎音鈸2,121.4,4.58,10.88
5,碎音鈸2,121.46,3.87,9.5
5,碎音鈸2,125.71,-1.9,2.73
5,碎音鈸2,123.25,2.47,8.44
6,疊音拔,76.78,2.03,8.43
6,疊音拔,75.93,20.01,25.54
6,疊音拔,69.39,27.8,29.32
6,疊音拔,67.0,26.64,29.3
6,疊音拔,62.76,21.98,26.87
6,疊音拔,60.26,19.29,25.06
6,疊音拔,54.5,12.56,23.78
6,疊音拔,54.13,14.21,18.07
6,疊音拔,47.4,18.49,22.85
6,疊音拔,47.76,15.72,22.66
6,疊音拔,49.4,25.29,28.11
6,疊音拔,46.37,22.4,30.78
6,疊音拔,44.35,25.87,32.68
6,疊音拔,42.89,30.76,37.03
