Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,-16.57,17.32,19.3
0,碎音鈸,-19.43,36.73,39.69
0,碎音鈸,-16.63,30.49,42.72
0,碎音鈸,-9.21,30.46,39.68
0,碎音鈸,-5.27,54.12,55.01
0,碎音鈸,-7.9,46.02,54.92
0,碎音鈸,-6.76,51.87,56.35
0,碎音鈸,-7.6,30.97,52.07
0,碎音鈸,-4.6,19.84,39.76
0,碎音鈸,-5.04,20.64,28.39
0,碎音鈸,-3.5,18.07,29.94
0,碎音鈸,-2.49,14.07,28.31
0,碎音鈸,-2.58,19.24,28.66
0,碎音鈸,-2.48,24.04,36.46
0,碎音鈸,-4.52,26.61,33.22
0,碎音鈸,-3.05,23.24,34.59
0,碎音鈸,-4.18,16.5,31.77
0,碎音鈸,-3.33,18.96,29.48
0,碎音鈸,-2.86,12.75,28.61
0,碎音鈸,0.01,21.59,24.91
1,小鼓,-49.1,25.21,28.93
1,小鼓,-51.45,29.26,34.42
1,小鼓,-58.91,20.64,33.43
1,小鼓,-70.81,22.68,34.98
1,小鼓,-84.05,22.65,33.02
1,小鼓,-100.36,25.77,30.38
1,小鼓,-112.67,33.31,33.91
1,小鼓,-127.0,34.0,34.0
1,小鼓,-147.06,28.13,33.47
1,小鼓,-163.45,22.97,29.61
1,小鼓,-172.06,32.06,35.68
1,小鼓,178.83,19.88,38.98
1,小鼓,174.59,27.59,35.89
1,小鼓,167.85,31.63,35.93
1,小鼓,163.56,25.74,39.18
1,小鼓,160.96,25.96,39.69
1,小鼓,158.07,27.18,33.2
1,小鼓,155.62,27.06,40.0
1,小鼓,154.53,18.38,34.1
1,小鼓,152.7,21.82,35.59
2,高音中鼓,146.25,-6.19,-0.71
2,高音中鼓,145.37,22.68,23.15
2,高音中鼓,152.35,25.07,25.35
2,高音中鼓,156.81,19.9,25.35
2,高音中鼓,160.95,24.81,27.46
2,高音中鼓,162.77,25.59,28.48
2,高音中鼓,166.26,22.06,25.59
2,高音中鼓,164.55,28.0,29.41
2,高音中鼓,163.32,27.47,29.04
2,高音中鼓,165.78,25.47,29.25
2,高音中鼓,167.65,31.59,32.37
2,高音中鼓,172.33,22.92,27.18
2,高音中鼓,178.34,22.75,36.06
2,高音中鼓,-176.44,26.47,31.83
2,高音中鼓,-171.64,31.36,38.68
2,高音中鼓,-163.15,31.32,37.61
2,高音中鼓,-159.37,32.58,38.21
2,高音中鼓,-155.62,31.26,38.94
2,高音中鼓,-149.19,31.36,39.72
2,高音中鼓,-145.93,26.4,30.61
3,低音中鼓,159.18,13.56,14.85
3,低音中鼓,153.38,21.18,21.91
3,低音中鼓,148.01,19.62,21.92
3,低音中鼓,143.18,19.82,21.64
3,低音中鼓,136.72,20.24,23.4
3,低音中鼓,134.62,19.21,23.12
3,低音中鼓,132.64,21.87,24.06
3,低音中鼓,133.53,22.52,23.4
3,低音中鼓,132.23,21.22,23.67
3,低音中鼓,129.84,27.31,29.16
3,低音中鼓,129.04,21.92,30.69
3,低音中鼓,130.5,24.23,29.23
3,低音中鼓,130.94,27.07,29.44
3,低音中鼓,130.43,24.42,31.97
3,低音中鼓,129.26,24.51,31.47
3,低音中鼓,131.32,29.85,31.47
3,低音中鼓,132.91,18.58,31.11
3,低音中鼓,132.32,15.04,32.75
3,低音中鼓,135.2,11.5,29.91
3,低音中鼓,136.89,17.95,21.74
4,落地鼓,114.24,15.88,19.6
4,落地鼓,111.73,28.27,29.04
4,落地鼓,110.8,25.15,29.04
4,落地鼓,108.45,26.06,27.56
4,落地鼓,109.14,19.01,27.93
4,落地鼓,113.13,18.63,23.99
4,落地鼓,111.55,19.94,30.11
4,落地鼓,112.63,22.36,26.3
4,落地鼓,111.24,18.53,27.34
4,落地鼓,111.39,23.17,28.65
4,落地鼓,110.62,16.7,26.27
4,落地鼓,108.72,24.76,26.91
4,落地鼓,113.11,24.65,29.01
4,落地鼓,113.46,24.82,27.61
4,落地鼓,112.81,26.24,29.15
4,落地鼓,111.61,25.63,32.3
4,落地鼓,111.35,29.0,34.77
4,落地鼓,111.36,28.26,35.43
4,落地鼓,110.49,31.02,38.04
4,落地鼓,109.62,23.99,26.55
5,碎音鈸2,166.77,-0.08,20.27
5,碎音鈸2,170.26,13.92,17.73
5,碎音鈸2,171.37,24.57,28.36
5,碎音鈸2,170.37,26.88,35.4
5,碎音鈸2,166.15,27.4,37.95
5,碎音鈸2,157.87,27.15,30.42
5,碎音鈸2,151.79,26.9,32.16
5,碎音鈸2,153.85,28.23,33.06
5,碎音鈸2,149.83,30.16,36.84
5,碎音鈸2,148.82,28.65,33.37
5,碎音鈸2,150.76,33.71,37.23
5,碎音鈸2,143.09,33.25,35.84
5,碎音鈸2,146.12,33.91,36.4
5,碎音鈸2,135.55,31.74,39.81
5,碎音鈸2,136.29,23.44,32.52
5,碎音鈸2,139.93,19.01,28.82
5,碎音鈸2,137.56,23.79,27.62
5,碎音鈸2,137.33,23.13,30.57
5,碎音鈸2,136.41,25.35,27.21
5,碎音鈸2,136.06,23.86,26.84
6,疊音拔,111.25,19.09,21.44
6,疊音拔,115.45,13.39,23.75
6,疊音拔,118.65,3.68,7.5
6,疊音拔,131.92,-17.75,-14.27
6,疊音拔,132.36,-8.83,-4.25
6,疊音拔,126.39,-2.26,2.93
6,疊音拔,127.1,1.44,3.56
6,疊音拔,127.95,3.24,7.35
6,疊音拔,125.84,1.65,8.49
6,疊音拔,120.65,7.77,10.88
6,疊音拔,124.85,0.39,4.27
6,疊音拔,128.45,13.06,13.44
6,疊音拔,124.05,4.42,5.14
6,疊音拔,123.91,7.3,7.7
6,疊音拔,122.65,9.16,9.16
6,疊音拔,121.02,1.99,9.16
6,疊音拔,120.14,2.37,7.93
6,疊音拔,120.78,1.17,4.38
6,疊音拔,122.05,7.42,11.95
6,疊音拔,118.94,10.12,13.47
