Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,37.39,3.23,21.11
0,碎音鈸,36.08,-6.36,8.11
0,碎音鈸,31.41,-6.18,9.56
0,碎音鈸,28.55,-5.06,11.39
0,碎音鈸,28.24,-6.63,12.66
0,碎音鈸,27.99,-5.64,14.07
0,碎音鈸,27.61,-6.4,14.43
0,碎音鈸,28.07,-6.05,13.01
0,碎音鈸,28.78,-10.08,9.14
0,碎音鈸,27.13,-9.67,9.76
0,碎音鈸,27.28,-6.86,12.38
0,碎音鈸,26.63,-5.98,10.72
0,碎音鈸,26.62,-5.42,10.94
0,碎音鈸,25.64,-5.04,10.7
0,碎音鈸,26.57,-6.17,13.33
0,碎音鈸,26.91,-3.54,12.2
0,碎音鈸,28.12,-1.19,13.14
0,碎音鈸,26.58,-3.48,13.94
0,碎音鈸,26.43,-8.04,10.75
0,碎音鈸,23.27,-8.05,11.3
1,小鼓,-1.2,-14.63,0.3
1,小鼓,0.41,-13.67,-1.18
1,小鼓,-1.74,-12.78,-1.18
1,小鼓,0.72,-9.56,5.75
1,小鼓,0.1,-10.38,6.25
1,小鼓,0.61,-8.58,4.26
1,小鼓,0.52,-10.73,4.38
1,小鼓,-1.5,-11.02,4.08
1,小鼓,5.77,-10.54,4.19
1,小鼓,4.26,-11.64,4.81
1,小鼓,4.22,-6.96,6.59
1,小鼓,4.29,-10.94,5.45
1,小鼓,1.44,-10.22,4.66
1,小鼓,0.11,-11.09,1.15
1,小鼓,2.06,-10.79,3.26
1,小鼓,1.68,-10.88,2.99
1,小鼓,0.89,-14.39,4.04
1,小鼓,1.36,-15.27,-1.26
1,小鼓,2.17,-14.38,-1.0
1,小鼓,0.66,-14.25,3.36
2,高音中鼓,4.0,1.86,12.62
2,高音中鼓,6.24,0.06,10.07
2,高音中鼓,12.41,2.74,10.85
2,高音中鼓,8.49,-1.36,10.23
2,高音中鼓,11.49,1.79,9.18
2,高音中鼓,9.44,-0.95,8.62
2,高音中鼓,11.77,1.32,8.5
2,高音中鼓,8.3,-3.76,8.66
2,高音中鼓,11.9,0.93,10.31
2,高音中鼓,10.31,0.94,11.9
2,高音中鼓,15.73,6.7,12.66
2,高音中鼓,12.18,1.32,9.65
2,高音中鼓,15.76,4.12,13.27
2,高音中鼓,14.73,2.54,9.31
2,高音中鼓,10.57,5.85,11.13
2,高音中鼓,11.65,-0.59,13.3
2,高音中鼓,11.63,-4.06,9.86
2,高音中鼓,13.88,-0.92,6.71
2,高音中鼓,11.72,-2.58,8.91
2,高音中鼓,14.04,1.45,9.52
3,低音中鼓,14.17,0.77,9.51
3,低音中鼓,-7.78,-6.09,2.68
3,低音中鼓,-4.97,-4.23,5.07
3,低音中鼓,-8.52,-3.45,7.73
3,低音中鼓,-4.9,-1.14,10.49
3,低音中鼓,-3.77,1.51,11.9
3,低音中鼓,0.61,2.19,13.91
3,低音中鼓,-1.63,1.68,11.86
3,低音中鼓,3.28,4.73,14.14
3,低音中鼓,3.24,2.22,12.88
3,低音中鼓,1.81,2.47,9.61
3,低音中鼓,-1.04,0.51,14.69
3,低音中鼓,4.17,-1.51,10.88
3,低音中鼓,3.52,0.11,10.71
3,低音中鼓,7.63,3.1,12.43
3,低音中鼓,4.92,4.92,10.31
3,低音中鼓,1.83,9.64,15.62
3,低音中鼓,-2.68,-3.28,14.59
3,低音中鼓,2.7,-0.75,12.85
3,低音中鼓,0.02,0.53,12.18
4,落地鼓,-19.2,-12.61,4.15
4,落地鼓,-16.22,-9.6,6.72
4,落地鼓,-15.89,-5.09,10.12
4,落地鼓,-16.99,-8.54,5.83
4,落地鼓,-22.03,-11.83,8.34
4,落地鼓,-25.21,-11.82,7.18
4,落地鼓,-22.71,-5.97,8.42
4,落地鼓,-22.42,-16.9,3.28
4,落地鼓,-23.72,-14.7,5.2
4,落地鼓,-24.49,-11.29,3.75
4,落地鼓,-24.11,-8.55,6.83
4,落地鼓,-25.19,-17.22,3.81
4,落地鼓,-26.17,-12.17,5.12
4,落地鼓,-27.84,-9.48,9.94
4,落地鼓,-21.14,-13.53,11.5
4,落地鼓,-21.04,-8.04,7.96
4,落地鼓,-20.15,-6.6,10.18
4,落地鼓,-22.79,-11.87,5.94
4,落地鼓,-17.41,-12.79,9.3
4,落地鼓,-16.72,-7.98,9.0
5,碎音鈸2,35.23,-29.91,-12.22
5,碎音鈸2,33.14,-23.94,-10.76
5,碎音鈸2,33.64,-26.45,-13.71
5,碎音鈸2,32.3,-28.46,-16.89
5,碎音鈸2,31.8,-26.24,-11.92
5,碎音鈸2,30.54,-27.31,-11.82
5,碎音鈸2,29.14,-27.04,-9.55
5,碎音鈸2,28.61,-28.31,-9.74
5,碎音鈸2,28.11,-30.3,-11.1
5,碎音鈸2,27.73,-28.4,-11.76
5,碎音鈸2,27.18,-30.87,-9.8
5,碎音鈸2,25.43,-28.97,-11.32
5,碎音鈸2,25.74,-26.31,-8.64
5,碎音鈸2,25.24,-24.65,-4.58
5,碎音鈸2,25.96,-24.19,-6.11
5,碎音鈸2,26.02,-26.3,-7.17
5,碎音鈸2,27.72,-28.22,-7.47
5,碎音鈸2,28.76,-28.7,-12.2
5,碎音鈸2,30.13,-26.94,-11.81
5,碎音鈸2,27.89,-31.65,-12.73
6,疊音拔,-29.88,-6.09,5.0
6,疊音拔,-21.42,-8.97,2.76
6,疊音拔,-16.18,-4.12,4.7
6,疊音拔,-13.97,-4.49,5.23
6,疊音拔,-11.36,-4.96,4.39
6,疊音拔,-11.24,-3.67,2.07
6,疊音拔,-10.64,-8.36,3.59
6,疊音拔,-10.96,-10.39,2.63
6,疊音拔,-9.66,-10.24,1.66
6,疊音拔,-10.11,-10.25,0.2
6,疊音拔,-7.12,-12.15,-1.52
6,疊音拔,-7.86,-12.82,-1.64
6,疊音拔,-6.57,-10.58,-1.02
6,疊音拔,-4.15,-9.95,1.02
6,疊音拔,-3.91,-5.81,3.99
