Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,60.11,15.34,29.44
0,碎音鈸,57.43,14.98,28.25
0,碎音鈸,56.89,14.02,28.7
0,碎音鈸,56.02,14.13,26.18
0,碎音鈸,55.23,11.45,27.74
0,碎音鈸,55.0,16.55,29.7
0,碎音鈸,54.51,15.72,28.93
0,碎音鈸,55.01,9.59,29.66
0,碎音鈸,55.54,16.96,24.74
0,碎音鈸,55.88,13.74,27.36
0,碎音鈸,56.32,11.03,26.01
0,碎音鈸,54.94,14.64,25.16
0,碎音鈸,54.69,11.46,26.27
0,碎音鈸,54.19,12.39,24.16
0,碎音鈸,53.67,13.48,23.69
0,碎音鈸,52.54,12.82,24.23
0,碎音鈸,51.43,11.28,26.48
0,碎音鈸,51.5,15.8,24.73
0,碎音鈸,51.24,9.18,21.81
0,碎音鈸,55.56,8.57,24.47
1,小鼓,34.89,-3.11,40.92
1,小鼓,37.72,-1.08,38.44
1,小鼓,39.74,-4.34,36.06
1,小鼓,42.73,-11.53,39.92
1,小鼓,44.73,-11.16,38.5
1,小鼓,45.63,-15.55,31.79
1,小鼓,45.48,-2.57,34.68
1,小鼓,46.05,-8.12,33.98
1,小鼓,46.15,-5.25,30.58
1,小鼓,45.04,-3.39,31.69
1,小鼓,43.84,-5.84,29.28
1,小鼓,43.58,-4.89,26.82
1,小鼓,42.34,1.3,26.22
1,小鼓,42.11,-1.25,28.06
1,小鼓,42.01,-3.21,26.81
1,小鼓,41.81,-8.08,26.61
1,小鼓,45.17,-6.22,26.82
1,小鼓,44.36,-8.96,26.36
1,小鼓,44.52,-12.27,23.54
1,小鼓,46.0,-16.28,22.01
2,高音中鼓,18.14,31.48,29.0
2,高音中鼓,15.55,38.02,25.82
2,高音中鼓,17.79,31.96,29.72
2,高音中鼓,20.15,27.85,28.0
2,高音中鼓,21.75,29.97,27.19
2,高音中鼓,24.32,34.74,24.96
2,高音中鼓,29.55,32.02,29.29
2,高音中鼓,32.75,33.9,25.42
2,高音中鼓,37.29,41.25,21.47
2,高音中鼓,42.51,43.76,24.65
2,高音中鼓,45.4,43.23,27.02
2,高音中鼓,47.64,40.59,20.08
2,高音中鼓,47.93,39.06,21.69
2,高音中鼓,46.9,33.93,20.57
2,高音中鼓,48.76,36.72,24.4
2,高音中鼓,51.51,33.6,21.48
2,高音中鼓,56.33,28.06,26.24
2,高音中鼓,61.09,38.52,29.84
2,高音中鼓,63.16,38.85,30.46
2,高音中鼓,66.81,33.01,25.51
3,低音中鼓,16.39,34.51,30.85
3,低音中鼓,16.55,32.7,23.6
3,低音中鼓,16.32,27.39,28.42
3,低音中鼓,16.9,20.27,22.26
3,低音中鼓,16.31,26.91,20.55
3,低音中鼓,16.95,28.33,18.81
3,低音中鼓,16.97,31.78,24.96
3,低音中鼓,17.44,24.68,21.58
3,低音中鼓,17.95,19.89,18.07
3,低音中鼓,18.1,16.01,12.93
3,低音中鼓,17.66,18.64,14.89
3,低音中鼓,17.53,18.54,18.11
3,低音中鼓,19.74,17.93,19.27
3,低音中鼓,18.51,22.38,21.04
3,低音中鼓,17.69,19.89,18.16
3,低音中鼓,16.83,18.58,18.34
3,低音中鼓,15.14,20.62,18.25
3,低音中鼓,16.55,20.47,17.08
3,低音中鼓,16.61,18.62,17.49
3,低音中鼓,18.3,16.3,17.83
4,落地鼓,-1.81,40.91,23.98
4,落地鼓,-3.49,45.32,23.13
4,落地鼓,-3.35,48.25,22.89
4,落地鼓,-1.24,49.03,20.43
4,落地鼓,-1.89,49.73,22.92
4,落地鼓,-1.7,53.65,24.77
4,落地鼓,-12.45,54.5,25.92
4,落地鼓,-2.41,52.01,20.75
4,落地鼓,-0.6,53.37,26.82
4,落地鼓,1.61,54.12,26.64
4,落地鼓,0.32,54.58,27.46
4,落地鼓,1.69,54.05,27.9
4,落地鼓,0.46,53.19,32.06
4,落地鼓,-0.42,48.63,24.55
