Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,32.45,10.92,11.74
0,碎音鈸,41.82,14.82,14.82
0,碎音鈸,42.73,17.03,17.03
0,碎音鈸,43.27,14.6,14.6
0,碎音鈸,45.02,10.77,10.77
0,碎音鈸,36.78,12.72,12.72
0,碎音鈸,38.41,14.88,16.16
0,碎音鈸,39.82,17.29,17.29
0,碎音鈸,38.71,20.47,21.0
0,碎音鈸,38.81,24.02,24.02
0,碎音鈸,38.63,20.94,20.94
0,碎音鈸,49.19,12.88,12.88
0,碎音鈸,42.08,11.02,14.06
0,碎音鈸,41.78,12.04,15.26
0,碎音鈸,41.95,18.73,18.73
0,碎音鈸,38.85,15.53,15.53
0,碎音鈸,37.42,18.18,18.18
0,碎音鈸,41.84,16.17,16.17
0,碎音鈸,40.86,20.0,20.0
0,碎音鈸,44.33,14.49,16.09
0,碎音鈸,43.49,15.35,15.35
0,碎音鈸,43.95,23.61,23.81
0,碎音鈸,48.56,15.27,15.29
0,碎音鈸,43.8,14.95,15.35
0,碎音鈸,42.97,14.86,15.35
0,碎音鈸,45.56,15.09,15.09
0,碎音鈸,43.25,18.2,18.92
0,碎音鈸,40.24,17.7,18.92
0,碎音鈸,39.09,16.1,17.7
0,碎音鈸,37.33,20.78,20.78
0,碎音鈸,38.36,22.12,22.12
0,碎音鈸,39.92,17.48,22.12
0,碎音鈸,41.57,14.36,17.48
0,碎音鈸,43.47,14.08,14.08
0,碎音鈸,46.31,10.18,14.08
0,碎音鈸,43.5,17.23,17.23
0,碎音鈸,43.8,16.77,17.23
0,碎音鈸,43.28,16.53,17.24
0,碎音鈸,43.69,16.37,17.24
0,碎音鈸,42.26,16.49,17.08
0,碎音鈸,42.86,14.31,16.49
0,碎音鈸,40.63,17.6,17.6
0,碎音鈸,41.19,18.16,18.66
0,碎音鈸,39.01,15.4,18.66
0,碎音鈸,40.9,16.51,16.51
0,碎音鈸,39.61,15.15,16.51
0,碎音鈸,39.79,13.35,15.15
0,碎音鈸,42.17,11.47,13.35
0,碎音鈸,42.61,5.32,11.47
0,碎音鈸,42.15,9.21,9.43
0,碎音鈸,40.44,16.05,16.05
0,碎音鈸,40.44,15.21,16.05
0,碎音鈸,40.68,12.91,15.21
0,碎音鈸,41.07,13.32,13.76
0,碎音鈸,40.91,11.59,13.32
0,碎音鈸,39.61,13.51,14.15
0,碎音鈸,38.16,8.9,12.63
0,碎音鈸,35.37,10.61,11.2
0,碎音鈸,34.04,8.82,14.88
0,碎音鈸,35.55,7.27,9.64
0,碎音鈸,34.28,6.73,8.35
0,碎音鈸,35.01,7.79,7.79
0,碎音鈸,34.28,3.59,8.34
0,碎音鈸,34.61,12.72,12.72
0,碎音鈸,34.7,12.77,13.17
0,碎音鈸,32.36,3.28,13.68
0,碎音鈸,36.84,6.8,15.62
0,碎音鈸,33.76,6.38,13.67
0,碎音鈸,38.59,8.34,8.34
0,碎音鈸,37.43,6.84,8.4
0,碎音鈸,38.72,-0.14,8.4
0,碎音鈸,34.82,9.09,10.14
0,碎音鈸,35.34,3.93,12.12
0,碎音鈸,36.09,11.63,11.92
0,碎音鈸,34.8,11.75,15.02
0,碎音鈸,33.26,9.97,13.15
0,碎音鈸,37.98,0.03,10.46
0,碎音鈸,35.39,4.76,6.72
0,碎音鈸,37.25,-1.87,7.73
0,碎音鈸,32.68,7.57,10.82
0,碎音鈸,35.86,6.88,9.06
0,碎音鈸,34.04,8.77,17.79
0,碎音鈸,34.28,10.84,10.84
0,碎音鈸,33.66,1.26,8.41
0,碎音鈸,34.83,8.79,8.79
0,碎音鈸,32.41,7.99,9.39
