Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,35.16,-7.52,7.81
0,碎音鈸,29.6,-7.96,10.12
0,碎音鈸,27.35,-5.68,9.65
0,碎音鈸,30.36,-10.58,2.25
0,碎音鈸,27.53,-11.1,1.07
0,碎音鈸,24.98,-11.79,-0.62
0,碎音鈸,27.83,-10.5,3.08
0,碎音鈸,29.17,-9.72,3.18
0,碎音鈸,28.75,-13.27,2.5
0,碎音鈸,28.27,-13.66,6.61
0,碎音鈸,27.44,-12.12,5.71
0,碎音鈸,30.61,-13.28,5.37
0,碎音鈸,29.6,-10.79,5.74
0,碎音鈸,27.76,-10.93,6.16
0,碎音鈸,27.08,-8.38,6.38
0,碎音鈸,24.68,-6.15,5.76
0,碎音鈸,27.89,-17.48,6.09
0,碎音鈸,28.44,-10.42,6.1
0,碎音鈸,30.26,-2.45,6.64
0,碎音鈸,29.88,-3.18,8.38
0,碎音鈸,28.86,-4.38,10.35
0,碎音鈸,29.41,-1.58,9.74
0,碎音鈸,27.83,-5.26,10.86
0,碎音鈸,29.28,-2.03,10.9
0,碎音鈸,26.75,-8.58,12.42
0,碎音鈸,31.57,-2.2,10.24
0,碎音鈸,29.12,-7.14,7.44
0,碎音鈸,27.72,-5.68,11.27
0,碎音鈸,25.69,-10.07,7.39
0,碎音鈸,30.8,-3.86,9.34
0,碎音鈸,30.73,-2.81,8.89
0,碎音鈸,27.31,-7.14,12.83
0,碎音鈸,27.5,-5.6,9.45
0,碎音鈸,27.45,-5.49,15.17
0,碎音鈸,26.22,-6.51,10.2
0,碎音鈸,29.27,-3.99,13.24
0,碎音鈸,29.82,1.53,12.11
0,碎音鈸,28.76,-4.52,14.46
0,碎音鈸,29.51,-2.92,10.79
0,碎音鈸,29.21,-3.17,12.87
0,碎音鈸,28.71,-5.75,8.7
0,碎音鈸,28.05,-5.62,11.49
0,碎音鈸,28.58,-2.78,6.05
0,碎音鈸,29.47,-1.82,10.6
0,碎音鈸,26.56,-5.75,9.97
0,碎音鈸,28.31,-3.45,10.4
0,碎音鈸,26.32,-5.94,8.51
0,碎音鈸,28.4,-4.76,12.95
0,碎音鈸,28.1,-2.71,12.13
0,碎音鈸,26.94,-4.49,13.36
0,碎音鈸,26.26,-4.12,12.3
0,碎音鈸,26.08,-3.34,10.82
0,碎音鈸,26.39,-1.51,12.38
0,碎音鈸,28.38,-2.91,13.42
0,碎音鈸,26.39,-3.21,11.4
0,碎音鈸,27.47,-4.21,13.14
0,碎音鈸,28.28,-1.28,12.14
0,碎音鈸,27.31,-5.66,14.67
0,碎音鈸,26.14,-6.26,14.67
0,碎音鈸,24.76,-5.15,7.79
0,碎音鈸,23.9,-1.24,10.75
0,碎音鈸,23.19,-5.96,10.07
0,碎音鈸,21.43,1.99,11.73
0,碎音鈸,23.11,0.7,13.26
0,碎音鈸,24.14,-1.71,13.73
0,碎音鈸,24.19,-6.25,16.08
0,碎音鈸,24.71,-7.31,8.5
0,碎音鈸,23.38,-3.86,9.13
0,碎音鈸,24.8,-6.87,13.2
0,碎音鈸,24.95,1.04,12.75
0,碎音鈸,23.81,-6.29,12.33
0,碎音鈸,23.04,-3.44,14.06
0,碎音鈸,24.1,-4.36,12.87
0,碎音鈸,22.61,-0.78,12.87
0,碎音鈸,25.25,-0.79,11.33
0,碎音鈸,21.35,-4.4,14.19
0,碎音鈸,22.19,-3.8,12.48
0,碎音鈸,21.85,-4.62,12.48
0,碎音鈸,25.16,-2.89,12.5
0,碎音鈸,23.87,-1.81,12.5
