Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,75.14,17.5,29.2
0,碎音鈸,72.23,22.09,30.08
0,碎音鈸,66.95,21.55,31.79
0,碎音鈸,68.59,21.2,28.95
0,碎音鈸,65.89,18.05,30.42
0,碎音鈸,64.84,20.63,27.67
0,碎音鈸,61.38,26.56,29.32
0,碎音鈸,57.09,27.12,26.75
0,碎音鈸,57.44,23.64,32.63
0,碎音鈸,57.9,25.16,27.98
0,碎音鈸,58.7,22.34,30.1
0,碎音鈸,58.17,21.75,28.86
0,碎音鈸,58.94,17.23,28.2
0,碎音鈸,61.06,13.03,26.34
0,碎音鈸,61.27,16.13,26.34
0,碎音鈸,57.93,22.99,26.82
0,碎音鈸,57.63,20.56,23.17
0,碎音鈸,57.98,21.58,25.96
0,碎音鈸,60.11,18.5,28.88
0,碎音鈸,60.81,15.78,22.72
1,小鼓,29.34,19.25,26.96
1,小鼓,24.11,15.36,28.58
1,小鼓,28.02,14.35,27.95
1,小鼓,31.01,17.32,25.22
1,小鼓,32.76,20.04,25.32
1,小鼓,35.18,14.5,24.98
1,小鼓,37.21,17.4,21.52
1,小鼓,40.51,20.08,23.45
1,小鼓,40.1,21.92,24.24
1,小鼓,41.02,24.03,25.93
1,小鼓,36.43,25.99,27.66
1,小鼓,35.77,25.41,24.41
1,小鼓,37.63,25.64,25.15
1,小鼓,37.2,24.22,22.48
1,小鼓,36.34,21.31,23.92
1,小鼓,33.11,25.84,22.51
1,小鼓,33.89,23.54,24.13
1,小鼓,35.11,25.27,20.42
1,小鼓,36.15,22.68,20.99
1,小鼓,40.41,23.62,18.34
2,高音中鼓,14.99,22.42,24.63
2,高音中鼓,17.63,17.51,26.81
2,高音中鼓,20.31,16.02,20.32
2,高音中鼓,21.74,21.38,21.55
2,高音中鼓,22.77,19.61,21.84
2,高音中鼓,23.95,15.73,19.94
2,高音中鼓,24.24,17.36,17.97
2,高音中鼓,25.07,16.53,20.59
2,高音中鼓,27.12,18.1,20.33
2,高音中鼓,27.84,17.13,20.91
2,高音中鼓,28.06,19.42,21.67
2,高音中鼓,27.99,20.97,21.36
2,高音中鼓,27.67,20.0,21.5
2,高音中鼓,27.46,18.15,20.43
2,高音中鼓,27.86,17.87,17.74
2,高音中鼓,28.73,19.48,18.23
2,高音中鼓,28.66,20.69,18.15
2,高音中鼓,29.09,16.66,18.74
