Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,21.4,28.01,28.61
0,碎音鈸,22.67,26.89,27.76
0,碎音鈸,26.82,27.22,27.22
0,碎音鈸,35.98,28.08,28.08
0,碎音鈸,36.58,28.61,28.61
0,碎音鈸,39.54,28.3,28.61
0,碎音鈸,36.24,28.7,28.7
0,碎音鈸,37.16,27.32,27.32
0,碎音鈸,38.66,27.95,27.95
0,碎音鈸,38.47,26.07,26.13
0,碎音鈸,36.8,23.69,24.66
0,碎音鈸,41.13,24.6,24.66
0,碎音鈸,38.82,23.55,24.6
0,碎音鈸,35.83,27.6,27.73
0,碎音鈸,37.42,29.37,29.37
0,碎音鈸,39.67,27.31,29.37
0,碎音鈸,40.26,28.57,28.57
0,碎音鈸,35.75,24.65,24.65
0,碎音鈸,38.07,25.92,25.95
0,碎音鈸,38.97,30.46,30.46
1,小鼓,-7.43,22.88,22.88
1,小鼓,-3.43,22.65,22.87
1,小鼓,-1.45,22.12,22.12
1,小鼓,-0.89,24.91,24.91
1,小鼓,-0.58,27.51,27.51
1,小鼓,-2.26,24.02,24.65
1,小鼓,0.13,28.23,28.23
1,小鼓,-0.24,23.24,23.24
1,小鼓,-2.49,17.86,21.19
1,小鼓,-0.11,21.68,21.68
1,小鼓,-0.13,22.97,22.97
1,小鼓,0.72,20.46,20.46
1,小鼓,-0.05,22.75,22.94
1,小鼓,-3.07,20.37,23.58
1,小鼓,-0.49,17.0,19.21
1,小鼓,-1.95,20.38,21.74
1,小鼓,-0.77,24.49,24.49
1,小鼓,1.21,17.81,22.69
1,小鼓,-8.14,22.21,24.24
1,小鼓,-12.5,24.08,24.64
2,高音中鼓,-14.99,-8.55,-6.19
2,高音中鼓,-9.36,-3.71,-3.71
2,高音中鼓,-13.18,-4.38,-2.57
2,高音中鼓,-12.81,1.21,1.21
2,高音中鼓,-11.16,-5.49,-4.84
2,高音中鼓,-11.38,-3.94,-3.94
2,高音中鼓,-10.72,-1.49,-1.49
2,高音中鼓,-13.39,-4.42,-1.49
2,高音中鼓,-17.62,2.33,4.03
2,高音中鼓,-15.88,8.31,8.31
2,高音中鼓,-14.15,-0.49,8.31
2,高音中鼓,-13.63,1.29,1.29
2,高音中鼓,-8.93,-1.01,0.51
2,高音中鼓,-7.16,0.97,0.97
2,高音中鼓,-9.06,0.92,0.92
2,高音中鼓,-12.71,-3.9,-2.6
2,高音中鼓,-12.16,-5.3,-4.97
2,高音中鼓,-13.77,-6.06,-4.63
2,高音中鼓,-11.9,-2.12,-0.78
2,高音中鼓,-20.57,-7.31,-0.63
3,低音中鼓,-43.23,-1.61,-1.35
3,低音中鼓,-50.68,-2.43,-1.35
3,低音中鼓,-54.17,-5.01,-2.43
3,低音中鼓,-54.31,-2.71,-2.26
3,低音中鼓,-49.94,-4.83,-2.7
3,低音中鼓,-51.98,-5.1,-3.99
3,低音中鼓,-62.81,-4.31,-1.5
3,低音中鼓,-59.63,-0.03,2.04
3,低音中鼓,-58.1,-3.18,-2.42
3,低音中鼓,-64.38,-6.14,-1.64
3,低音中鼓,-56.86,-0.89,-0.5
3,低音中鼓,-61.12,-5.17,-3.72
3,低音中鼓,-61.08,-1.57,-0.93
3,低音中鼓,-62.15,-4.19,-1.94
3,低音中鼓,-52.71,-3.52,-3.52
3,低音中鼓,-65.4,-10.72,-7.86
3,低音中鼓,-53.46,-6.03,-5.5
3,低音中鼓,-54.19,-6.44,-5.93
3,低音中鼓,-53.95,-3.09,-3.09
3,低音中鼓,-58.62,-2.2,-2.2
4,落地鼓,-71.11,5.09,9.07
4,落地鼓,-65.6,7.39,10.19
4,落地鼓,-67.72,8.24,10.59
4,落地鼓,-67.27,3.1,6.46
4,落地鼓,-73.85,14.63,15.25
4,落地鼓,-71.62,13.38,15.89
4,落地鼓,-71.22,8.41,16.5
4,落地鼓,-68.79,14.86,14.86
4,落地鼓,-69.53,12.89,14.86
4,落地鼓,-75.64,21.12,21.12
4,落地鼓,-74.23,18.74,21.12
4,落地鼓,-73.78,17.12,18.74
4,落地鼓,-76.23,13.44,15.1
4,落地鼓,-74.67,12.31,13.95
4,落地鼓,-77.63,15.82,17.81
4,落地鼓,-76.78,7.96,11.14
4,落地鼓,-82.73,14.17,16.5
4,落地鼓,-82.67,16.88,19.52
4,落地鼓,-86.5,-1.27,1.38
4,落地鼓,-77.28,19.42,19.42
5,碎音鈸2,-7.28,26.52,27.35
5,碎音鈸2,13.26,30.6,31.38
5,碎音鈸2,18.49,29.29,31.26
5,碎音鈸2,18.02,26.31,27.73
5,碎音鈸2,19.42,33.18,33.18
5,碎音鈸2,21.79,36.04,36.04
5,碎音鈸2,22.08,34.24,36.04
5,碎音鈸2,21.16,31.75,34.24
5,碎音鈸2,24.95,38.92,38.92
5,碎音鈸2,22.26,32.99,38.92
5,碎音鈸2,21.16,32.63,32.63
5,碎音鈸2,22.95,31.95,33.33
5,碎音鈸2,25.22,32.91,32.91
5,碎音鈸2,26.59,28.89,30.43
5,碎音鈸2,25.67,31.29,31.75
5,碎音鈸2,25.38,30.97,31.35
5,碎音鈸2,27.28,31.38,31.44
5,碎音鈸2,26.8,31.37,32.08
5,碎音鈸2,28.2,36.1,36.1
5,碎音鈸2,27.6,29.33,29.66
6,疊音拔,-68.55,0.54,1.15
6,疊音拔,-80.57,0.67,0.67
6,疊音拔,-85.66,3.09,3.09
6,疊音拔,-88.69,2.02,2.77
6,疊音拔,-89.58,0.57,2.27
6,疊音拔,-87.85,4.68,4.68
6,疊音拔,-91.04,3.33,5.69
6,疊音拔,-92.65,10.46,10.46
6,疊音拔,-94.02,13.04,13.04
6,疊音拔,-93.89,13.46,13.46
6,疊音拔,-94.08,14.58,14.58
6,疊音拔,-94.63,10.51,14.58
6,疊音拔,-95.06,12.75,12.75
6,疊音拔,-93.41,9.11,12.75
6,疊音拔,-94.54,6.19,6.19
6,疊音拔,-92.23,6.54,8.0
6,疊音拔,-89.08,4.53,4.53
6,疊音拔,-91.07,4.55,4.55
6,疊音拔,-97.55,7.39,7.99
6,疊音拔,-95.76,7.02,8.2
