Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,120.21,-6.75,-5.13
0,碎音鈸,124.94,-12.97,-1.54
0,碎音鈸,125.17,-13.75,-8.47
0,碎音鈸,127.2,-14.09,-10.31
0,碎音鈸,121.6,-17.35,-9.2
0,碎音鈸,120.67,-16.05,-14.97
0,碎音鈸,117.05,-11.65,-10.75
0,碎音鈸,114.78,-13.94,-11.94
0,碎音鈸,108.75,-19.85,-10.31
0,碎音鈸,109.34,-16.43,-10.89
0,碎音鈸,109.13,-18.03,-14.0
0,碎音鈸,108.68,-15.8,-14.75
0,碎音鈸,106.35,-16.82,-15.37
0,碎音鈸,108.24,-16.13,-12.69
0,碎音鈸,107.74,-12.16,-11.14
0,碎音鈸,109.58,-11.37,-10.57
0,碎音鈸,109.38,-13.75,-12.47
0,碎音鈸,111.94,-11.09,-10.43
0,碎音鈸,111.74,-13.54,-12.57
0,碎音鈸,109.7,-9.96,-9.01
1,小鼓,82.12,-6.84,-6.11
1,小鼓,73.58,-8.99,-7.01
1,小鼓,69.85,-7.87,-6.92
1,小鼓,65.33,-7.8,-5.68
1,小鼓,63.72,-8.17,-6.24
1,小鼓,62.22,-10.55,-5.26
1,小鼓,59.32,-8.46,-7.34
1,小鼓,57.95,-11.27,-6.01
1,小鼓,58.33,-11.07,-3.69
1,小鼓,57.5,-12.61,-8.58
1,小鼓,53.77,-13.32,-8.41
1,小鼓,50.02,-7.69,-7.02
1,小鼓,49.26,-6.46,-5.15
1,小鼓,47.21,-3.61,-3.08
1,小鼓,48.68,-5.03,-3.75
1,小鼓,45.58,-5.53,-3.53
1,小鼓,44.0,-11.3,-5.28
1,小鼓,46.47,-11.7,-11.05
1,小鼓,49.71,-10.42,-9.71
1,小鼓,50.88,-9.78,-8.9
2,高音中鼓,27.67,-12.0,-11.22
2,高音中鼓,23.61,-12.23,-11.45
2,高音中鼓,23.74,-14.81,-10.36
2,高音中鼓,21.9,-15.76,-10.01
2,高音中鼓,26.82,-18.32,-14.19
2,高音中鼓,24.12,-17.49,-14.78
2,高音中鼓,23.85,-18.53,-13.58
2,高音中鼓,23.24,-17.98,-13.42
2,高音中鼓,24.86,-16.36,-15.17
2,高音中鼓,25.9,-18.87,-15.08
2,高音中鼓,26.31,-16.26,-15.16
2,高音中鼓,24.74,-17.54,-12.41
2,高音中鼓,26.5,-17.82,-15.37
2,高音中鼓,26.78,-17.95,-16.6
2,高音中鼓,25.14,-13.8,-13.14
2,高音中鼓,26.44,-14.43,-12.73
2,高音中鼓,25.79,-14.58,-13.39
2,高音中鼓,23.96,-14.14,-11.39
2,高音中鼓,26.63,-14.25,-13.13
2,高音中鼓,30.86,-10.35,-9.32
3,低音中鼓,4.2,-9.13,-8.26
3,低音中鼓,4.95,-8.66,-7.74
3,低音中鼓,2.4,-13.8,-12.17
3,低音中鼓,6.31,-14.41,-13.2
3,低音中鼓,5.87,-15.06,-7.6
3,低音中鼓,5.54,-16.03,-8.59
3,低音中鼓,4.29,-13.19,-7.81
3,低音中鼓,4.34,-11.4,-6.9
3,低音中鼓,2.39,-11.14,-7.28
3,低音中鼓,2.52,-10.66,-4.56
3,低音中鼓,4.01,-10.22,-7.15
3,低音中鼓,2.32,-10.77,-4.56
3,低音中鼓,0.03,-10.02,-5.39
3,低音中鼓,1.49,-7.86,-5.52
3,低音中鼓,2.22,-8.79,-4.74
3,低音中鼓,3.34,-8.63,-5.75
3,低音中鼓,4.12,-6.33,-4.53
3,低音中鼓,2.63,-8.51,-3.81
3,低音中鼓,1.62,-9.01,-7.84
3,低音中鼓,2.69,-8.58,-7.86
4,落地鼓,-30.87,-10.09,-9.35
4,落地鼓,-27.4,-6.14,-5.03
4,落地鼓,-27.82,-9.39,-1.92
4,落地鼓,-29.9,-9.25,-5.1
4,落地鼓,-30.82,-8.79,-2.33
4,落地鼓,-29.27,-12.16,-1.69
4,落地鼓,-27.94,-6.72,-5.22
4,落地鼓,-29.11,-12.96,-3.49
4,落地鼓,-29.93,-13.85,-5.29
4,落地鼓,-27.11,-12.15,-6.5
4,落地鼓,-30.05,-9.61,-7.57
4,落地鼓,-29.88,-12.64,-4.78
4,落地鼓,-31.03,-11.32,-4.95
4,落地鼓,-28.69,-11.06,-6.54
4,落地鼓,-28.19,-10.41,-5.94
4,落地鼓,-30.25,-10.57,-7.9
4,落地鼓,-31.33,-7.42,-6.42
4,落地鼓,-30.13,-8.95,-7.16
4,落地鼓,-29.03,-7.83,-7.08
4,落地鼓,-30.38,-0.9,-0.52
5,碎音鈸2,-51.41,3.21,3.71
5,碎音鈸2,-51.7,-2.25,3.58
5,碎音鈸2,-52.56,-3.91,0.43
5,碎音鈸2,-51.19,-3.9,-0.15
5,碎音鈸2,-51.18,-4.84,-0.9
5,碎音鈸2,-50.61,-5.05,-2.04
5,碎音鈸2,-48.32,-5.1,-2.73
5,碎音鈸2,-51.07,-5.2,-2.75
5,碎音鈸2,-45.72,-5.22,-1.23
5,碎音鈸2,-47.7,-4.55,-1.3
5,碎音鈸2,-48.07,-3.79,-0.65
5,碎音鈸2,-48.39,-8.28,-0.54
5,碎音鈸2,-49.93,-8.19,-5.88
5,碎音鈸2,-50.4,-6.3,-3.92
5,碎音鈸2,-51.54,-3.61,-1.91
5,碎音鈸2,-49.22,-4.83,-2.86
5,碎音鈸2,-50.99,-5.4,-3.29
5,碎音鈸2,-48.49,-3.53,-2.11
5,碎音鈸2,-44.26,-5.64,-4.5
5,碎音鈸2,-44.12,-7.5,-5.13
6,疊音拔,-63.46,-10.4,-9.34
6,疊音拔,-66.19,-19.28,-8.05
6,疊音拔,-65.71,-21.96,-14.04
6,疊音拔,-67.31,-19.42,-15.99
6,疊音拔,-65.65,-17.01,-14.05
6,疊音拔,-63.44,-16.83,-13.66
6,疊音拔,-67.06,-11.83,-10.63
6,疊音拔,-64.87,-17.93,-8.25
6,疊音拔,-68.1,-18.05,-12.25
6,疊音拔,-65.15,-13.93,-11.36
6,疊音拔,-66.34,-11.05,-9.52
6,疊音拔,-71.2,-15.81,-4.39
6,疊音拔,-69.37,-15.51,-11.71
6,疊音拔,-73.06,-18.42,-11.62
6,疊音拔,-71.89,-16.64,-11.45
6,疊音拔,-73.83,-17.08,-8.76
6,疊音拔,-75.53,-19.98,-13.04
6,疊音拔,-71.23,-14.54,-13.64
6,疊音拔,-69.37,-9.9,-8.24
6,疊音拔,-66.72,-9.35,-7.61
