Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,55.82,3.54,8.59
0,碎音鈸,54.07,-0.5,9.21
0,碎音鈸,54.85,-1.59,7.36
0,碎音鈸,55.51,-4.39,8.26
0,碎音鈸,57.11,-2.49,5.07
0,碎音鈸,55.62,-1.17,4.74
0,碎音鈸,54.87,1.46,6.7
0,碎音鈸,54.78,-0.34,6.7
0,碎音鈸,53.67,0.75,5.43
0,碎音鈸,53.1,2.92,8.74
0,碎音鈸,50.58,-10.74,9.43
0,碎音鈸,51.88,-0.69,6.69
0,碎音鈸,49.37,-11.29,5.71
0,碎音鈸,51.51,-3.53,3.28
0,碎音鈸,49.88,-11.69,3.28
0,碎音鈸,50.11,-5.32,4.36
0,碎音鈸,50.92,-4.38,5.64
0,碎音鈸,52.03,-4.03,6.38
0,碎音鈸,52.18,-1.53,6.21
0,碎音鈸,52.89,3.53,11.0
1,小鼓,19.05,-2.29,3.5
1,小鼓,20.33,-4.26,2.76
1,小鼓,21.52,-3.31,1.04
1,小鼓,21.63,-3.17,1.96
1,小鼓,22.81,-4.9,-0.84
1,小鼓,22.59,-1.77,5.56
1,小鼓,22.24,2.93,8.48
1,小鼓,21.89,-1.06,9.54
1,小鼓,22.85,-1.64,10.64
1,小鼓,23.01,-2.83,12.96
1,小鼓,23.46,2.2,11.71
1,小鼓,23.8,0.66,9.01
1,小鼓,23.73,1.55,11.23
1,小鼓,25.05,2.35,9.17
1,小鼓,25.31,3.81,9.12
1,小鼓,25.04,4.78,10.56
1,小鼓,23.97,1.63,10.79
1,小鼓,24.42,2.08,8.17
1,小鼓,24.48,-1.61,9.75
1,小鼓,27.46,4.13,14.01
2,高音中鼓,24.66,0.72,6.75
2,高音中鼓,24.68,1.45,7.72
2,高音中鼓,25.36,2.42,9.07
2,高音中鼓,25.37,2.34,8.07
2,高音中鼓,24.59,-2.06,7.81
2,高音中鼓,23.15,2.99,8.75
2,高音中鼓,23.28,-1.72,9.87
2,高音中鼓,22.28,0.62,9.9
2,高音中鼓,21.51,-1.12,8.29
2,高音中鼓,21.94,0.44,8.32
2,高音中鼓,22.86,0.22,8.44
2,高音中鼓,23.55,-3.14,9.38
2,高音中鼓,23.42,-1.95,6.26
2,高音中鼓,25.71,0.26,6.28
2,高音中鼓,25.71,-0.28,7.35
2,高音中鼓,26.95,0.42,6.68
2,高音中鼓,27.04,-0.16,6.8
2,高音中鼓,27.18,3.52,8.55
2,高音中鼓,25.47,0.87,9.2
2,高音中鼓,25.93,0.51,11.71
3,低音中鼓,3.22,-2.68,4.72
3,低音中鼓,7.79,-1.56,5.18
3,低音中鼓,10.06,-1.0,6.32
3,低音中鼓,10.16,0.02,7.01
3,低音中鼓,11.46,-0.33,5.93
3,低音中鼓,12.11,-1.45,8.7
3,低音中鼓,14.59,-1.07,7.79
3,低音中鼓,15.69,-1.7,7.34
3,低音中鼓,18.63,-1.73,7.41
3,低音中鼓,19.06,-1.1,7.41
3,低音中鼓,23.46,2.71,6.46
3,低音中鼓,20.52,-0.67,7.19
3,低音中鼓,20.02,-0.8,7.42
3,低音中鼓,23.2,0.28,7.79
3,低音中鼓,24.18,0.76,7.89
3,低音中鼓,24.3,2.42,6.2
3,低音中鼓,22.24,1.44,8.56
3,低音中鼓,20.49,2.16,10.49
3,低音中鼓,14.55,-1.99,12.32
3,低音中鼓,15.91,4.91,12.53
4,落地鼓,-5.41,13.73,18.2
4,落地鼓,-9.32,12.73,19.61
4,落地鼓,-14.8,8.76,20.13
4,落地鼓,-14.22,7.61,19.33
4,落地鼓,-14.19,6.03,20.09
4,落地鼓,-11.33,8.35,19.26
4,落地鼓,-9.18,11.33,18.87
4,落地鼓,-3.4,12.74,20.29
4,落地鼓,-2.62,6.53,19.12
4,落地鼓,-0.12,9.92,17.3
4,落地鼓,-0.35,8.28,16.4
4,落地鼓,-3.26,4.61,16.86
4,落地鼓,-1.79,5.58,17.04
4,落地鼓,0.81,10.57,17.37
4,落地鼓,2.21,11.29,17.88
4,落地鼓,4.66,11.25,19.42
4,落地鼓,3.6,11.12,18.87
4,落地鼓,5.87,8.95,17.48
4,落地鼓,6.02,10.79,16.94
4,落地鼓,5.62,7.62,19.86
5,碎音鈸2,-57.67,7.14,14.99
5,碎音鈸2,-48.2,18.94,19.06
5,碎音鈸2,-86.1,21.76,24.17
5,碎音鈸2,-101.38,20.76,26.65
5,碎音鈸2,-112.2,24.15,28.49
5,碎音鈸2,-116.36,27.34,30.02
5,碎音鈸2,-120.36,24.99,30.02
