Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_SwingDepth
0,碎音鈸,92.92,5.17,30.15
0,碎音鈸,91.07,7.93,31.43
0,碎音鈸,85.29,6.02,28.12
0,碎音鈸,80.7,10.19,27.61
0,碎音鈸,68.49,9.5,23.6
0,碎音鈸,68.96,10.53,22.65
0,碎音鈸,65.7,13.94,23.66
0,碎音鈸,67.39,17.02,24.02
0,碎音鈸,66.01,17.83,24.33
0,碎音鈸,64.07,17.87,25.0
0,碎音鈸,61.86,14.75,21.05
0,碎音鈸,61.71,14.8,25.05
0,碎音鈸,62.28,21.11,25.76
0,碎音鈸,62.69,18.91,26.73
0,碎音鈸,64.39,16.85,23.39
0,碎音鈸,66.75,15.95,20.41
0,碎音鈸,64.75,18.09,20.97
0,碎音鈸,65.72,16.58,18.63
0,碎音鈸,64.55,19.41,19.27
0,碎音鈸,65.31,11.73,26.92
1,小鼓,25.99,10.7,23.85
1,小鼓,27.11,8.36,27.33
1,小鼓,28.78,3.31,23.19
1,小鼓,32.26,9.8,22.1
1,小鼓,35.21,13.78,23.21
1,小鼓,40.96,10.9,22.06
1,小鼓,44.75,5.68,18.78
1,小鼓,41.52,8.5,16.39
1,小鼓,41.02,7.94,19.56
1,小鼓,36.52,14.02,19.55
1,小鼓,36.49,14.2,21.14
1,小鼓,37.07,15.48,23.44
1,小鼓,35.83,17.98,21.35
1,小鼓,29.27,14.75,20.8
1,小鼓,32.46,17.23,18.39
1,小鼓,33.08,14.5,18.05
1,小鼓,34.38,15.06,17.88
1,小鼓,36.1,13.78,21.65
1,小鼓,37.08,13.61,21.18
1,小鼓,37.71,14.15,21.59
2,高音中鼓,16.03,16.55,20.49
2,高音中鼓,19.03,8.74,21.11
2,高音中鼓,20.96,10.58,18.84
2,高音中鼓,22.18,9.52,17.97
2,高音中鼓,21.92,9.61,18.46
2,高音中鼓,20.39,16.98,19.22
2,高音中鼓,21.39,18.52,16.8
2,高音中鼓,22.61,19.78,15.99
2,高音中鼓,24.02,18.18,17.07
2,高音中鼓,25.26,19.57,17.23
2,高音中鼓,22.89,20.5,19.85
2,高音中鼓,25.41,17.05,18.17
2,高音中鼓,28.89,18.32,20.59
2,高音中鼓,27.37,18.06,17.47
2,高音中鼓,25.02,18.94,18.65
2,高音中鼓,30.12,16.29,19.66
2,高音中鼓,29.33,19.72,20.45
2,高音中鼓,29.61,15.12,22.39
2,高音中鼓,38.62,21.08,20.81
2,高音中鼓,38.76,21.95,21.56
3,低音中鼓,32.11,10.46,13.14
3,低音中鼓,9.59,11.71,19.58
3,低音中鼓,10.23,14.5,25.74
3,低音中鼓,8.29,16.46,20.43
3,低音中鼓,17.22,17.95,21.05
3,低音中鼓,16.08,20.56,21.68
3,低音中鼓,13.29,20.82,19.27
3,低音中鼓,14.97,20.26,21.86
3,低音中鼓,16.06,19.93,20.92
3,低音中鼓,12.4,22.12,21.44
3,低音中鼓,10.99,21.34,19.43
3,低音中鼓,19.5,16.75,22.5
3,低音中鼓,20.82,19.73,21.82
3,低音中鼓,17.16,16.76,21.49
3,低音中鼓,13.34,18.33,19.51
3,低音中鼓,13.0,16.22,21.42
3,低音中鼓,25.81,14.77,22.46
3,低音中鼓,18.97,15.5,17.68
3,低音中鼓,15.74,19.21,18.27
3,低音中鼓,20.61,15.6,17.23
4,落地鼓,1.58,13.51,17.47
4,落地鼓,2.86,14.09,21.09
4,落地鼓,4.28,14.35,18.04
4,落地鼓,5.75,12.85,19.75
4,落地鼓,7.55,10.42,16.83
4,落地鼓,9.51,8.08,18.25
4,落地鼓,10.88,9.15,16.07
4,落地鼓,12.32,4.2,18.18
4,落地鼓,13.33,5.11,13.52
4,落地鼓,12.02,12.38,19.25
4,落地鼓,11.54,9.98,21.06
4,落地鼓,11.51,10.63,20.15
4,落地鼓,14.0,2.27,22.72
4,落地鼓,14.18,11.48,22.43
4,落地鼓,17.11,8.38,20.56
4,落地鼓,12.66,10.3,15.23
4,落地鼓,13.47,7.2,15.78
4,落地鼓,15.68,12.04,17.11
4,落地鼓,15.46,12.33,17.94
4,落地鼓,17.02,9.79,17.78
5,碎音鈸2,-7.32,15.8,20.65
5,碎音鈸2,-7.12,11.25,20.6
5,碎音鈸2,-7.61,8.48,18.4
5,碎音鈸2,-9.21,10.95,16.66
5,碎音鈸2,-9.24,11.59,17.96
5,碎音鈸2,-8.45,12.08,13.48
5,碎音鈸2,-7.48,11.71,16.23
5,碎音鈸2,-6.98,10.05,17.48
5,碎音鈸2,-4.34,6.65,22.45
5,碎音鈸2,-5.38,5.33,20.74
5,碎音鈸2,-7.01,11.39,21.29
5,碎音鈸2,-6.69,13.57,16.79
5,碎音鈸2,-6.86,12.93,17.11
5,碎音鈸2,-7.9,15.61,18.97
5,碎音鈸2,-2.19,13.32,16.23
5,碎音鈸2,-1.27,12.99,14.47
5,碎音鈸2,-3.76,12.15,17.08
5,碎音鈸2,-7.0,15.19,16.75
5,碎音鈸2,-4.54,13.31,18.42
5,碎音鈸2,-4.72,11.92,17.69
6,疊音拔,-41.8,8.51,14.58
6,疊音拔,-41.89,8.89,16.96
6,疊音拔,-42.53,9.86,13.33
6,疊音拔,-42.67,11.42,14.44
6,疊音拔,-42.38,9.54,14.65
6,疊音拔,-41.86,10.36,13.93
6,疊音拔,-41.04,10.8,16.05
6,疊音拔,-41.14,8.41,16.07
6,疊音拔,-38.98,9.04,16.05
6,疊音拔,-38.96,11.46,15.38
6,疊音拔,-40.45,12.28,15.2
6,疊音拔,-39.53,8.81,17.77
6,疊音拔,-40.21,12.15,15.11
6,疊音拔,-40.03,14.95,17.52
6,疊音拔,-37.87,10.11,18.31
6,疊音拔,-38.69,14.5,16.38
6,疊音拔,-40.08,14.06,17.99
6,疊音拔,-40.62,18.67,21.57
6,疊音拔,-37.79,16.05,18.97
6,疊音拔,-36.71,12.67,16.23
