event_id,hand,true,pred,prob,dominant_share,peak_g,nn_distance,band
1,R,Hi-Hat,Crash,0.6158471938480886,0.986545,6.092579,1.321490188070117,IN-LIKE
2,R,Hi-Hat,Hi-Hat,0.9385806574044313,0.988642,6.917881,1.6092705184314406,IN-LIKE
3,R,Hi-Hat,Hi-Hat,0.845845517313028,0.987286,6.439062,2.123176670693687,IN-LIKE
4,R,Hi-Hat,Hi-Hat,0.7611744008829681,0.985458,5.232486,1.5176500489335703,IN-LIKE
5,R,Hi-Hat,Hi-Hat,0.9578112059204554,0.980673,4.781399,2.0157115716791485,IN-LIKE
6,R,Hi-Hat,Hi-Hat,0.9487061385210875,0.985746,5.65338,2.4690857524406913,BORDERLINE
7,R,Crash,Crash,0.6509786006359639,0.985195,5.488227,2.214815979595996,IN-LIKE
8,R,Hi-Hat,Crash,0.9935158829864469,0.941509,4.447959,0.7640116820967955,IN-LIKE
11,R,Hi-Hat,Crash,0.7749487732755541,0.900396,4.625278,1.2788009424355105,IN-LIKE
12,R,Hi-Hat,Crash,0.9774648381183542,0.963048,5.344265,1.2509051062833163,IN-LIKE
13,R,Hi-Hat,Crash,0.9976518087167651,0.936437,3.961983,1.1817656970620976,IN-LIKE
16,R,Hi-Hat,Crash,0.7101594401392918,0.955146,4.896388,1.7253979379146323,IN-LIKE
17,R,Hi-Hat,Crash,0.7104008585904117,0.963588,5.329975,1.5659560098909444,IN-LIKE
18,R,Hi-Hat,Hi-Hat,0.6364425520509582,0.919277,4.830215,1.4366345341216522,IN-LIKE
21,R,Hi-Hat,Hi-Hat,0.9041188459300856,0.948854,5.393402,2.930650181301996,BORDERLINE
22,R,Hi-Hat,Crash,0.7008224099789324,0.965551,5.985153,1.4899971709632882,IN-LIKE
23,R,Hi-Hat,Crash,0.916725542246817,0.933855,4.790541,1.4638297908928863,IN-LIKE
26,R,Hi-Hat,Hi-Hat,0.7749000617159342,0.962629,6.611906,1.2473195701494897,IN-LIKE
27,R,Hi-Hat,Hi-Hat,0.529083183511426,0.957491,5.189783,1.3939840721926688,IN-LIKE
28,R,Hi-Hat,Hi-Hat,0.7988221997172238,0.912596,5.22958,1.3922113617693932,IN-LIKE
31,R,Hi-Hat,Hi-Hat,0.6416276031111825,0.955397,4.778213,1.4267774254863337,IN-LIKE
